start values, python addition, python multiplication
7.66764807372e-53,1.53352961474e-52,5.87928269825e-105,rip
1.26418144754e-52,2.52836289508e-52,1.5981547323e-104,rip
2.08428284258e-52,4.16856568516e-52,4.34423496788e-104,rip
3.43640145672e-52,6.87280291344e-52,1.18088549717e-103,rip
5.66566817636e-52,1.13313363527e-51,3.20997958846e-103,rip
9.34110763509e-52,1.86822152702e-51,8.72562918504e-103,rip
1.54008828499e-51,3.08017656998e-51,2.37187192556e-102,rip
2.53917631422e-51,5.07835262843e-51,6.44741635467e-102,rip
4.1863939993e-51,8.37278799861e-51,1.75258947174e-101,rip
6.90219683418e-51,1.38043936684e-50,4.76403211378e-101,rip
1.13797987351e-50,2.27595974702e-50,1.29499819251e-100,rip
1.87621162308e-50,3.75242324616e-50,3.52017005458e-100,rip
3.09335001131e-50,6.18670002262e-50,9.56881429246e-100,rip
5.10007196136e-50,1.02001439227e-49,2.60107340111e-99,rip
8.4085971248e-50,1.68171942496e-49,7.07045056073e-99,rip
1.38634329364e-49,2.77268658728e-49,1.92194772782e-98,rip
2.28569367672e-49,4.57138735344e-49,5.22439558379e-98,rip
3.76847178311e-49,7.53694356622e-49,1.42013795801e-97,rip
6.21315958685e-49,1.24263191737e-48,3.86033520516e-97,rip
1.02437683691e-48,2.04875367382e-48,1.049347904e-96,rip
1.68891188022e-48,3.37782376045e-48,2.85242333916e-96,rip
2.78454494126e-48,5.56908988253e-48,7.75369052992e-96,rip
4.59093847388e-48,9.18187694777e-48,2.1076716071e-95,rip
7.56917791437e-48,1.51383558287e-47,5.72924542993e-95,rip
1.24794646291e-47,2.49589292583e-47,1.5573703743e-94,rip
2.0575158781e-47,4.1150317562e-47,4.23337158863e-94,rip
3.39227019303e-47,6.78454038605e-47,1.15074970625e-93,rip
5.5929080232e-47,1.11858160464e-46,3.1280620156e-93,rip
9.22114642293e-47,1.84422928459e-46,8.5029541353e-93,rip
1.52031002477e-46,3.04062004954e-46,2.31134257142e-92,rip
2.5065674759e-46,5.0131349518e-46,6.28288051124e-92,rip
4.13263111396e-46,8.26526222792e-46,1.70786399241e-91,rip
6.81355682155e-46,1.36271136431e-45,4.64245565604e-91,rip
1.12336560608e-45,2.24673121216e-45,1.26195028492e-90,rip
1.85211676952e-45,3.70423353904e-45,3.43033652793e-90,rip
3.05362431372e-45,6.10724862745e-45,9.32462144937e-90,rip
5.03457535876e-45,1.00691507175e-44,2.53469490431e-89,rip
8.30061148294e-45,1.66012229659e-44,6.89001509907e-89,rip
1.36853947117e-44,2.73707894235e-44,1.87290028416e-88,rip
2.25634013592e-44,4.51268027183e-44,5.09107080895e-88,rip
3.72007597602e-44,7.44015195204e-44,1.38389652674e-87,rip
6.13336839029e-44,1.22667367806e-43,3.7618207811e-87,rip
1.01122149261e-43,2.02244298522e-43,1.02256890712e-86,rip
1.66722238426e-43,3.33444476851e-43,2.77963047856e-86,rip
2.74878500791e-43,5.49757001582e-43,7.55581901971e-86,rip
4.53198031112e-43,9.06396062225e-43,2.05388455404e-85,rip
7.47197233734e-43,1.49439446747e-42,5.583037061e-85,rip
1.23191997267e-42,2.46383994533e-42,1.51762681905e-84,rip
2.03109266273e-42,4.06218532547e-42,4.12533740462e-84,rip
3.34870567581e-42,6.69741135163e-42,1.12138297032e-83,rip
5.52108227703e-42,1.10421645541e-41,3.04823495097e-83,rip
9.10272578742e-42,1.82054515748e-41,8.2859616761e-83,rip
1.50078576271e-41,3.00157152541e-41,2.25235790555e-82,rip
2.47437740974e-41,4.94875481948e-41,6.12254356583e-82,rip
4.07955866718e-41,8.15911733436e-41,1.66427989189e-81,rip
6.72605514964e-41,1.34521102993e-40,4.52398178761e-81,rip
1.10893901931e-40,2.21787803862e-40,1.22974574855e-80,rip
1.82833134905e-40,3.6566626981e-40,3.34279552192e-80,rip
3.01440878507e-40,6.02881757013e-40,9.08666032348e-80,rip
4.96991988252e-40,9.93983976505e-40,2.47001036387e-79,rip
8.19401262399e-40,1.6388025248e-39,6.71418428821e-79,rip
1.35096429056e-39,2.70192858111e-39,1.82510451436e-78,rip
2.2273635618e-39,4.45472712359e-39,4.96114843642e-78,rip
3.67230168192e-39,7.34460336383e-39,1.3485799643e-77,rip
